Year    Average Salnity
1871	33.22295021265745
1872	33.282452742258705
1873	33.28001063068708
1874	33.13747429102659
1875	33.389194344480835
1876	33.28976286699375
1877	33.131414234638214
1878	33.03253849347433
1879	33.02670157700777
1880	33.16769869873921
1881	33.110370407501854
1882	32.99404030293226
1883	33.23586671799421
1884	33.16987331211567
1885	33.40343423187733
1886	33.36340684443712
1887	33.2916464060545
1888	33.194608387847744
1889	33.4107164790233
1890	33.44971096267303
1891	33.23359320561091
1892	33.37407699227333
1893	33.25151517987251
1894	33.32822537918886
1895	33.0709440211455
1896	33.06770475457112
1897	33.29829985896746
1898	33.40905580421289
1899	33.20273571461439
1900	33.35273710389932
1901	33.35577122370402
1902	33.33784913023313
1903	33.31346966574589
1904	33.18503365914027
1905	33.23194706439972
1906	33.32394546767076
1907	33.52565583089987
1908	33.471176236867905
1909	33.43620903541645
1910	33.34734600534042
1911	33.23207606126865
1912	33.319424803058304
1913	33.391471768418945
1914	33.44456538309654
1915	33.33207988242308
1916	33.584515462319054
1917	33.369993348916374
1918	33.27264677236477
1919	33.22759990642468
1920	33.29766156276067
1921	33.369550593197346
1922	33.18181297928095
1923	33.355787272254624
1924	33.23632574081421
1925	33.40273899336656
1926	33.27094332377116
1927	33.10886759559313
1928	32.979758183161415
1929	32.89148329446713
1930	32.977064557373524
1931	33.12383739401897
1932	33.16467683017254
1933	32.923706501722336
1934	33.154369128247104
1935	32.90983219444752
1936	32.962468254069485
1937	32.987283197542034
1938	32.99746485799551
1939	32.99789557605982
1940	32.932356196145214
1941	32.93202184140682
1942	33.24046121786038
1943	33.24405830850204
1944	33.430793891350426
1945	33.279186549286045
1946	33.22106988231341
1947	33.17460208386183
1948	33.060791278878845
1949	33.246036529541016
1950	33.03207147369782
1951	33.581620832284294
1952	33.18132230639458
1953	33.501289904117584
1954	33.39333327611288
1955	33.33645795534054
1956	33.07111476610104
1957	33.17625413338343
1958	33.103428177535534
1959	33.32100279132525
1960	33.30823301027218
1961	33.65181131164233
1962	33.24035601566235
1963	33.509963688751064
1964	33.26776916782061
1965	33.408964743216835
1966	33.307687463859715
1967	33.351197389264904
1968	33.364544386665024
1969	33.429450983802475
1970	33.42586756000916
1971	33.808817967772484
1972	33.89231759309769
1973	33.75106139232715
1974	33.789347782731056
1975	33.37952530880769
1976	33.41429923474789
1977	33.320438265800476
1978	33.31173152973255
1979	33.31708079079787
1980	33.57324432333311
1981	33.45113676289717
1982	33.48861861228943
1983	33.50303951650858
1984	33.42209346592426
1985	33.400568544864655
1986	33.36821479101976
1987	33.318220215539135
1988	33.28701356550058
1989	33.49409251411756
1990	33.23943311472734
1991	33.51243741313616
1992	33.5716177970171
1993	33.37541365623474
1994	33.45550269385179
1995	33.38367701073488
1996	33.48920730253061
1997	33.27601889272531
1998	33.13264659047127
1999	33.16845313707987
2000	33.22860916952292
2001	33.09507923324903
2002	33.22690118600925
2003	33.37193762014309
2004	33.39343970517317
2005	33.30451106031736
2006	33.43294968704382
2007	33.33313198387623
2008	33.71360003948212
2009	33.43848852813244
2010	33.38809698820114
