1/1871	33.800293266773224
2/1871	33.76821994781494
3/1871	33.64633560180664
4/1871	33.65301966667175
5/1871	33.505340814590454
6/1871	33.62463617324829
7/1871	33.72546637058258
8/1871	33.23512506484985
9/1871	32.04175555706024
10/1871	31.90210172533989
11/1871	32.44283640384674
12/1871	33.33027195930481
1/1872	33.57764506340027
2/1872	33.57117938995361
3/1872	33.39401912689209
4/1872	33.18973344564438
5/1872	33.066361010074615
6/1872	33.438514828681946
7/1872	33.44421088695526
8/1872	33.25085288286209
9/1872	32.81658095121384
10/1872	32.718862414360046
11/1872	33.32772195339203
12/1872	33.593750953674316
1/1873	33.61466592550278
2/1873	33.57983934879303
3/1873	33.38872730731964
4/1873	33.18753099441528
5/1873	33.303594291210175
6/1873	33.37613636255264
7/1873	33.21535921096802
8/1873	33.13085514307022
9/1873	32.759604930877686
10/1873	32.654551923274994
11/1873	33.36225885152817
12/1873	33.7870032787323
1/1874	33.70694351196289
2/1874	33.19880923628807
3/1874	32.72291308641434
4/1874	32.78332197666168
5/1874	33.01860398054123
6/1874	33.176682233810425
7/1874	33.187810838222504
8/1874	33.1795437335968
9/1874	33.13809984922409
10/1874	33.122524112463
11/1874	33.096159130334854
12/1874	33.318279802799225
1/1875	33.553875625133514
2/1875	33.60242277383804
3/1875	33.428593933582306
4/1875	33.30467367172241
5/1875	33.34858459234238
6/1875	33.39482265710831
7/1875	33.419143319129944
8/1875	33.46190690994263
9/1875	33.381775856018066
10/1875	33.06366264820099
11/1875	33.197264194488525
12/1875	33.51360595226288
1/1876	33.54744637012482
2/1876	33.47587078809738
3/1876	33.348660707473755
4/1876	32.98978540301323
5/1876	33.293454587459564
6/1876	33.592419028282166
7/1876	33.65079528093338
8/1876	33.45073860883713
9/1876	32.96170836687088
10/1876	32.6709468960762
11/1876	33.11632019281387
12/1876	33.379008173942566
1/1877	33.29385602474213
2/1877	33.19966524839401
3/1877	33.17618155479431
4/1877	33.26062196493149
5/1877	33.24281680583954
6/1877	33.35291677713394
7/1877	33.28777062892914
8/1877	33.16808378696442
9/1877	32.56032094359398
10/1877	32.462558418512344
11/1877	33.21490615606308
12/1877	33.35727250576019
1/1878	33.15427818894386
2/1878	32.843727111816406
3/1878	32.64473098516464
4/1878	32.9086452126503
5/1878	32.8991784453392
6/1878	33.121437549591064
7/1878	33.27255839109421
8/1878	33.23236018419266
9/1878	33.15106850862503
10/1878	32.9725056886673
11/1878	33.09323626756668
12/1878	33.09673538804054
1/1879	33.25670576095581
2/1879	33.44017416238785
3/1879	33.67089766263962
4/1879	33.48635506629944
5/1879	32.714408218860626
6/1879	32.64664822816849
7/1879	32.621623396873474
8/1879	32.533924758434296
9/1879	32.48834028840065
10/1879	32.809339225292206
11/1879	33.2330065369606
12/1879	33.41899561882019
1/1880	33.86921590566635
2/1880	33.69141775369644
3/1880	33.37351793050766
4/1880	33.14782464504242
5/1880	33.0564369559288
6/1880	33.108780801296234
7/1880	32.886996030807495
8/1880	32.729567527770996
9/1880	32.61765033006668
10/1880	33.04161807894707
11/1880	33.23039776086807
12/1880	33.25896066427231
1/1881	33.47957718372345
2/1881	33.4341379404068
3/1881	32.99667298793793
4/1881	32.56728482246399
5/1881	32.76396179199219
6/1881	32.98301422595978
7/1881	33.09705185890198
8/1881	33.178826093673706
9/1881	33.15808165073395
10/1881	33.081316351890564
11/1881	33.23125219345093
12/1881	33.353267788887024
1/1882	33.346347749233246
2/1882	33.0734378695488
3/1882	32.744371831417084
4/1882	32.77748441696167
5/1882	33.06821936368942
6/1882	33.03829002380371
7/1882	32.93218731880188
8/1882	32.682213842868805
9/1882	32.69978258013725
10/1882	32.92526036500931
11/1882	33.316763281822205
12/1882	33.32412499189377
1/1883	33.548617005348206
2/1883	33.59799283742905
3/1883	33.58544462919235
4/1883	33.35833424329758
5/1883	32.82382592558861
6/1883	32.90523010492325
7/1883	32.934439957141876
8/1883	33.00348079204559
9/1883	33.13503682613373
10/1883	33.48640447854996
11/1883	33.330052733421326
12/1883	33.12154108285904
1/1884	33.3075076341629
2/1884	33.654749512672424
3/1884	33.53604698181152
4/1884	33.20493644475937
5/1884	33.03990787267685
6/1884	33.00264048576355
7/1884	32.96974176168442
8/1884	32.971544325351715
9/1884	32.9406858086586
10/1884	33.053394973278046
11/1884	33.16211003065109
12/1884	33.19521391391754
1/1885	33.07228726148605
2/1885	33.220663011074066
3/1885	33.13647645711899
4/1885	33.183175921440125
5/1885	33.258177161216736
6/1885	33.489974081516266
7/1885	33.544790267944336
8/1885	33.53476858139038
9/1885	33.572288393974304
10/1885	33.68531274795532
11/1885	33.63763362169266
12/1885	33.50566327571869
1/1886	33.50417637825012
2/1886	33.63512057065964
3/1886	33.73935788869858
4/1886	33.137062728405
5/1886	33.0936681330204
6/1886	33.402980864048004
7/1886	33.56277233362198
8/1886	33.47752368450165
9/1886	33.3295835852623
10/1886	33.06738072633743
11/1886	33.23373466730118
12/1886	33.17752057313919
1/1887	33.31651967763901
2/1887	33.495415687561035
3/1887	33.471613466739655
4/1887	33.31192874908447
5/1887	33.19722843170166
6/1887	33.10978955030441
7/1887	33.08758872747421
8/1887	33.130660355091095
9/1887	33.16560906171799
10/1887	33.22410970926285
11/1887	33.42186963558197
12/1887	33.567423820495605
1/1888	33.501261711120605
2/1888	33.4686803817749
3/1888	33.391256630420685
4/1888	33.19847768545151
5/1888	33.13874340057373
6/1888	33.372862458229065
7/1888	33.24474412202835
8/1888	33.01373910903931
9/1888	32.86468651890755
10/1888	32.96052658557892
11/1888	32.93245267868042
